Player,Pos,height_inches,season_end_year,Tm,MP,TRB%,ORB%,DRB%,TRB%_z,ORB%_z,DRB%_z,frontcourt_trb,is_sg
Courtney Lee,SG,77.0,2009,ORL,1939.0,5.2,1.1,9.1,-0.48766411049823244,-0.7769829934257729,-0.24865923751350888,15.306848591549297,1
Craig Porter Jr.,PG,73.0,2024,CLE,649.0,9.4,3.7,15.1,0.5455282795202311,0.06559188938304121,0.6736037315593196,14.329253451907325,0
D'Angelo Russell,PG,75.0,2016,LAL,2259.0,6.5,2.2,11.2,0.07630627666979464,0.06055556972624698,0.1634002417388552,15.846829971181556,0
Daequan Cook,SG,77.0,2008,MIA,1441.0,7.4,1.6,13.3,0.5540485248976532,-0.488487545405989,0.9855178955758988,12.62680011951001,1
Damian Lillard,PG,74.0,2013,POR,3167.0,4.7,1.5,8.0,-0.3567761722516435,-0.3566642125000754,-0.26806178756623006,17.044025034226483,0
Daniel Ewing,SG,75.0,2006,LAC,971.0,5.1,2.9,7.1,-0.5752678398190078,0.06726511468996521,-0.831089246527196,15.795228839017497,1
Daniel Gibson,PG,74.0,2007,CLE,988.0,5.4,3.2,7.7,-0.38865970411315476,0.23513756790899704,-0.5985144765939446,17.06607142857143,0
DantÃ© Exum,PG,77.0,2015,UTA,1817.0,4.2,1.7,6.6,-0.9902283537341174,-0.4113333111933173,-0.9963396562604216,17.97715187021181,0
Darius Garland,SG,73.0,2020,CLE,1824.0,3.4,1.6,5.2,-1.3294311620996362,-0.4465029730621738,-1.3897040489091625,17.837360754070268,1
De'Aaron Fox,PG,75.0,2018,SAC,2026.0,5.7,1.8,10.0,-0.27712187729873183,-0.23277369005414136,-0.1572336827643074,14.53963963963964,0
De'Anthony Melton,PG,74.0,2019,PHO,984.0,7.5,2.8,12.5,0.4103395209093355,0.3064202007717688,0.41740986299145083,17.445054945054945,0
Dennis SchrÃ¶der,PG,73.0,2014,ATL,641.0,5.4,0.9,9.9,-0.25495079418076916,-0.26341206738301254,-0.09842927839746114,13.291473259334005,0
Dennis Smith Jr.,PG,74.0,2018,DAL,2049.0,7.0,2.6,11.8,0.10403028645168556,0.0695558922815502,0.15793172353129678,11.115262461402736,0
Denzel Valentine,SG,76.0,2017,CHI,976.0,8.3,1.2,15.6,0.4287810225912221,-0.5010280760149806,0.6784928196677033,12.3,1
Deron Williams,PG,75.0,2006,UTA,2307.0,5.1,1.8,8.4,-0.5752678398190078,-0.41728181767845635,-0.4688292305964472,14.030802139037434,0
Derrick Rose,PG,75.0,2009,CHI,3000.0,6.1,3.7,8.4,-0.023560800233733994,0.7010243911041113,-0.48620194440876663,15.52035010940919,0
Devin Booker,SG,77.0,2016,PHO,2108.0,4.8,1.4,8.4,-0.6988538265733641,-0.48388900212441305,-0.5721152820987743,13.853977758768176,1
Devonte' Graham,PG,73.0,2019,CHO,676.0,5.0,1.6,8.6,-0.5403588395381538,-0.433214766608363,-0.42143852026553824,11.846386255924171,0
Dion Waiters,SG,75.0,2013,CLE,1756.0,4.9,1.4,8.8,-0.2901466444020975,-0.398635584318384,-0.08968135289408868,15.288775288231456,1
Donald Sloan,PG,75.0,2012,3TM,669.0,5.7,3.0,8.6,-0.272137442133425,0.1904587598021596,-0.43329887219874186,,0
Donovan Mitchell,SG,74.0,2018,UTA,2638.0,6.4,2.3,10.4,-0.07188609681773778,-0.043817701094334235,-0.08719692580972867,16.521693121693122,1
Doron Lamb,SG,76.0,2013,2TM,577.0,4.4,1.5,7.4,-0.4567204640259623,-0.3566642125000754,-0.4018471135703359,13.625278919553727,1
Drake Powell,SG,77.0,2026,BRK,1320.0,4.9,1.8,8.4,-0.7091361212021398,-0.6117707903775041,-0.47125897886827256,11.805945945945947,1
Duane Washington Jr.,PG,74.0,2022,IND,968.0,4.8,0.5,9.3,-0.6787447705282128,-0.936625272440369,-0.3546496282609536,13.437118126272912,0
Dylan Harper,SG,77.0,2026,SAS,1558.0,8.1,3.8,12.1,0.35051528934803283,0.31181287242765077,0.20914347227584387,13.2601246105919,1
Elfrid Payton,PG,75.0,2015,ORL,2489.0,7.9,4.8,11.2,0.8235562545907517,1.2771993224267384,0.34538970115064505,14.189111161627643,0
Elie Okobo,PG,75.0,2019,PHO,958.0,5.7,1.4,10.1,-0.27416329861285665,-0.5564872611717184,-0.09880452670515787,17.445054945054945,0
Emmanuel Mudiay,PG,75.0,2016,DEN,2068.0,6.2,1.7,10.9,-0.060486682726056826,-0.27972228768041557,0.08459500704196658,18.443740881237233,0
Eric Bledsoe,PG,73.0,2011,LAC,1841.0,7.1,4.4,9.8,0.4081975610157321,0.9329717692274603,-0.06900012845938606,17.766757123473543,0
Eric Gordon,SG,75.0,2009,LAC,2677.0,4.3,1.9,6.9,-0.9517674207627314,-0.322211490493501,-0.9952220306128909,15.2448801036941,1
Eric Maynor,PG,75.0,2010,2TM,1269.0,5.9,2.0,9.6,-0.14709443750712137,-0.2443769366496331,-0.11715571716946278,12.133846153846154,0
Ethan Thompson,SG,76.0,2026,IND,653.0,5.7,2.8,8.9,-0.4442232685645966,-0.14997895897492675,-0.37931270168663517,10.9,1
Frank Jackson,PG,75.0,2019,NOP,1169.0,5.9,2.2,9.5,-0.19810742977705748,-0.06339728291829697,-0.22785812412930995,16.558157765801077,0
Frank Ntilikina,PG,76.0,2018,NYK,1706.0,5.8,2.4,9.1,-0.24780248008716138,-0.006026503302372763,-0.31481638591210953,18.99646856158484,0
Gary Harris,SG,76.0,2015,DEN,719.0,4.8,3.0,6.7,-0.6961011199517064,0.29676101903444807,-0.9671716267514853,17.3,1
Gary Neal,SG,76.0,2011,SAS,1685.0,6.8,1.5,11.8,0.2639910152437926,-0.4722497939733552,0.5378095118926637,18.56745501285347,1
George Hill,PG,76.0,2009,SAS,1270.0,7.4,2.9,11.9,0.6468106479260979,0.24625288817183907,0.7015115900675234,15.868553459119498,0
Goran DragiÄ,PG,76.0,2009,PHO,728.0,8.3,5.5,10.8,1.110913958190597,1.7242602727017233,0.3282301935178324,14.190216889709275,0
Hamidou Diallo,SG,77.0,2019,OKC,526.0,9.5,7.2,12.0,1.170898209267327,3.018415081165586,0.309865198471324,11.48507858360159,1
Iman Shumpert,PG,77.0,2012,NYK,1705.0,6.3,2.8,9.9,0.01046682469743939,0.09642654924840757,-0.021833456867640294,15.701526082130965,0
Immanuel Quickley,PG,74.0,2021,NYK,1243.0,6.0,2.2,9.7,-0.3887320060306354,-0.1455366126172607,-0.42781017455448134,14.553156146179402,0
Isaac Okoro,SG,76.0,2021,CLE,2173.0,5.3,3.4,7.3,-0.6729556586811757,0.45447974069971037,-1.0233505889631909,10.942205818497612,1
Isaiah Briscoe,PG,75.0,2019,ORL,559.0,7.1,0.9,13.4,0.2582277832377371,-0.8646684975801067,0.6109902591276791,15.99476958973362,0
Isaiah Collier,PG,76.0,2025,UTA,1839.0,6.9,1.9,11.8,-0.1623233636277666,-0.5112273991014364,0.12591510677155787,18.960515021459226,0
Isaiah Whitehead,PG,76.0,2017,BRK,1643.0,5.9,2.1,9.7,-0.1631209904559444,-0.03957164422029154,-0.17488970159324982,12.95271629778672,0
JJ Redick,PG,75.0,2007,ORL,622.0,5.2,2.0,8.1,-0.4920084093026643,-0.4571511785393525,-0.46727357811504394,18.019611021069693,0
Ja Morant,PG,74.0,2020,MEM,2074.0,6.6,2.6,10.4,-0.00868052871643242,0.2260538064457032,-0.14299480971523731,15.950245168733776,0
Ja'Kobe Walter,SG,76.0,2025,TOR,1103.0,7.8,5.6,10.1,0.14528620440605042,0.6651400983744631,-0.2620904800039905,14.718534031413611,1
Jabari Brown,SG,76.0,2015,LAL,568.0,3.5,0.6,6.7,-1.3333767931469307,-1.0104900521552724,-0.9671716267514853,17.19267635971998,1
Jaden Hardy,SG,75.0,2023,DAL,708.0,7.3,1.8,13.0,0.027223221714025882,-0.42142249822056504,0.2584328708693726,14.620838548185231,1
Jaden Ivey,SG,75.0,2023,DET,2304.0,6.9,3.4,10.7,-0.10973983153165137,0.2639945534829979,-0.1803098407865339,12.686921133875947,1
Jahmai Mashack,SG,76.0,2026,MEM,673.0,6.5,3.6,9.5,-0.17931041592705346,0.2194545061471354,-0.26897716906867036,11.90925925925926,1
Jalen Brunson,PG,74.0,2019,DAL,1591.0,5.7,1.7,9.6,-0.27416329861285665,-0.3715785193266854,-0.20634919122528464,12.487926675094815,0
Jalen Green,SG,76.0,2022,HOU,2138.0,5.8,1.7,10.0,-0.31847261960268036,-0.3585206712069272,-0.20256261556620736,14.631132530120482,1
Jalen Suggs,PG,77.0,2022,ORL,1307.0,6.9,2.1,11.7,0.07782674641540542,-0.16581913746244656,0.16679155812103372,17.507616974972798,0
Jalen Williams,SG,77.0,2023,OKC,2276.0,7.9,3.9,12.2,0.23266780158254222,0.47818738214036133,0.10582671029340505,12.92493702770781,1
Jamal Murray,SG,76.0,2017,DEN,1764.0,6.7,2.6,10.7,0.034179680559777686,0.21679304011009123,-0.030248596294783207,19.577744451109776,1
Jamal Shead,PG,73.0,2025,TOR,1467.0,4.2,2.1,6.4,-1.0851520677292181,-0.4476399668054418,-1.106573227691948,14.718534031413611,0
James Harden,SG,77.0,2010,OKC,1738.0,8.1,3.2,12.7,0.8561750109253563,0.4440775701954873,0.7600070778763057,10.437332775919732,1
Jared McCain,SG,75.0,2025,PHI,592.0,5.4,2.4,8.6,-0.6750059770174619,-0.35225881836145,-0.6044483506882977,10.767172499225765,1
Jarrett Jack,SG,75.0,2006,POR,1599.0,6.0,1.3,10.8,-0.180967618907043,-0.6375304233004662,0.19995849112185796,15.026776649746193,1
Jase Richardson,SG,73.0,2026,ORL,587.0,6.0,4.0,8.1,-0.34488094882551795,0.4041712387081664,-0.5264267451772551,13.78659707724426,1
Javaris Crittenton,SG,77.0,2008,2TM,679.0,9.1,4.5,13.7,1.4067375993897602,0.9932223789742777,1.1059826837322158,14.538812687526791,1
Javon Small,PG,73.0,2026,MEM,830.0,8.3,4.6,12.2,0.416743502507419,0.6812463375497128,0.22753272771217128,11.90925925925926,0
Jaylen Clark,SG,77.0,2025,MIN,522.0,5.6,5.6,5.6,-0.6066482952321695,0.6651400983744631,-1.289164092056912,13.915610633619826,1
