Player,model_a_predicted_z,model_a_residual_z,model_a_residual_pct,model_b_predicted_z,model_b_residual_z,model_b_residual_pct,target
Nique Clifford,0.23187101711960925,0.07994185530804146,63.74999999999999,0.1870641649055087,0.12474870752214201,67.5,ORB%
Nolan Smith,-0.19177543951909007,0.6643308309825054,88.75,-0.18781394711889,0.6603693385823054,88.75,ORB%
Nolan Traor̩,-0.05884930141047379,-0.8299965878085769,3.75,0.04099326990965446,-0.9298391591287052,2.5,ORB%
Norman Powell,-0.010458076760878107,0.3432359324124549,75.625,0.1761864853620787,0.1565913702894981,68.75,ORB%
Norris Cole,-0.12769205013055054,-0.10499413755917356,48.125,-0.32633061284514403,0.09364442515541993,64.375,ORB%
O.J. Mayo,0.34199011028396503,-0.49366228717786387,21.25,0.15068195235649756,-0.3023541292503964,30.0,ORB%
Ochai Agbaji,0.1766675620165769,0.30151982012378437,73.75,0.26289593750083257,0.2152914446395287,70.625,ORB%
Orlando Johnson,0.1276205420370476,0.43908542546566426,79.375,0.27611241323648256,0.2905935542662293,73.75,ORB%
Pelle Larsson,0.14370399228903408,0.012736647717472516,61.25000000000001,0.07265190626450786,0.08378873374199873,62.5,ORB%
Quentin Grimes,0.06997155028552686,0.2941385300493482,72.5,0.06241179126217533,0.30169828907269974,74.375,ORB%
Randy Foye,0.07391467566224028,0.16122289224675673,66.25,0.016169314104657793,0.2189682538043392,71.25,ORB%
Rashad McCants,0.12209073651206256,-0.18697478519530317,43.125,0.2501726368407666,-0.31505668552400723,29.375,ORB%
Ray McCallum,-0.0826469422091051,0.0234059263392791,61.875,-0.26032027635013216,0.20107926048030617,70.0,ORB%
Raymond Felton,-0.10717565237832045,0.43873909381469745,78.75,-0.16811361732203953,0.4996770587584165,81.875,ORB%
Reed Sheppard,-0.17981600206638143,-0.10885538399907396,47.5,-0.31084204167923785,0.022170655613782453,59.375,ORB%
Rodney Stuckey,0.07826777806819199,0.40402014422323507,77.5,0.05947965070915678,0.4228082715822703,78.125,ORB%
Ron Baker,0.07486895263775026,-0.4220782180545012,25.624999999999996,0.16769741340260827,-0.5149066788193591,18.125,ORB%
Russell Westbrook,0.13814286646608032,2.779892601432857,99.375,0.16030553050510707,2.7577299373938304,100.0,ORB%
Semaj Christon,-0.08147260005885715,0.09317389270464214,64.375,-0.06240438670791505,0.07410567935370005,61.875,ORB%
Shaedon Sharpe,0.2234977379440976,0.2975282099277364,73.125,0.37551005072497007,0.14551589714686392,68.125,ORB%
Shelvin Mack,-0.09661206465072325,-0.32413854414650484,33.125,-0.022356644323349203,-0.39839396447387887,26.25,ORB%
Sindarius Thornwell,0.10732062813784392,0.18898245089547494,66.875,0.18850985419885874,0.10779322483446013,65.0,ORB%
Sion James,0.23276567699137263,-0.24420708654552592,39.375,0.09196729336328456,-0.10340870291743787,51.24999999999999,ORB%
Stephen Curry,0.008369550614492807,-0.3674889050716459,29.375,-0.13746804343587987,-0.22165131102127322,38.125,ORB%
T.J. McConnell,-0.17493978319668296,0.6438287818109245,87.5,-0.3499593530226522,0.8188483516368938,93.75,ORB%
Terence Davis,0.10320048936646045,1.400711198144209,98.125,0.13901709915397703,1.3648945883566925,98.125,ORB%
Th̩o Maledon,0.06031675191463885,-0.6058642667432138,13.750000000000002,0.15927393931042705,-0.7048214541390021,8.75,ORB%
Tim Hardaway Jr.,0.23583124378961937,-0.4521269146695889,23.75,0.12153847644631491,-0.3378341473262844,28.125,ORB%
Toney Douglas,-0.14314671727574338,1.1035651676050706,96.875,-0.1264675569222306,1.0868860072515578,96.25,ORB%
Trae Young,-0.01965969446291857,0.20280740067133218,67.5,-0.20319210470391977,0.3863398109123334,76.25,ORB%
Tre Johnson,0.19627415854484798,-0.6695073995015789,10.625,0.27959563137994586,-0.7528288723366767,6.25,ORB%
Tre Mann,0.02612495425565567,-0.28829485859034254,35.625,-0.13694982586559667,-0.12522007846909022,48.125,ORB%
Tyler Dorsey,0.08713744679762363,-0.28211993905980354,36.25,-0.08118796175379361,-0.11379453050838628,50.0,ORB%
Tyler Herro,0.2052987028937186,-0.9208243877590432,1.875,-0.11540494611299484,-0.6001207387523297,16.25,ORB%
Tyrese Proctor,-0.04065151103570353,-0.3864025467807696,28.125,-0.017457635548607416,-0.4095964222678657,25.0,ORB%
VJ Edgecombe,0.22385156543249562,0.6421115046782483,86.875,0.16554733665491955,0.7004157334558243,90.625,ORB%
Victor Oladipo,0.05258402003069637,-0.15894143240356545,45.0,0.18572399339544943,-0.29208140576831854,32.5,ORB%
Walter Clayton,0.03249457870875827,-0.5980861859460047,14.374999999999998,-0.13932100521484692,-0.4262706020223995,23.75,ORB%
Wayne Ellington,0.12339731169928825,-0.023546994926361142,56.25,0.014431557219908839,0.08541875955301827,63.125,ORB%
Will Barton,0.15387646629552165,0.7905718475719667,92.5,0.2052893715285681,0.7391589423389203,92.5,ORB%
Zach LaVine,0.14902578987353468,-0.6148278956997569,13.125,0.1702893399036625,-0.6360914457298847,13.750000000000002,ORB%
A.J. Price,-0.20338193811381597,0.11452179497808757,63.125,-0.2533662735754856,0.16450613043975718,65.625,DRB%
AJ Johnson,0.12148944007153192,-0.7944093648966908,8.75,0.1262220980029485,-0.7991420228281073,8.75,DRB%
Aaron Wiggins,0.11317923948779149,-0.09847469406150408,43.125,0.14130670212305224,-0.12660215669676483,42.5,DRB%
Acie Law,-0.15589189376018284,-1.057072594516712,2.5,-0.1503821013320937,-1.0625823869448012,2.5,DRB%
Ajay Mitchell,-0.0574536679215176,-0.5013469666755389,16.25,-0.10637395192473437,-0.45242668267232217,17.5,DRB%
Alec Burks,0.03964563062895536,-0.2513862022647961,30.625000000000004,0.07189009324760255,-0.28363066488344324,30.625000000000004,DRB%
Allan Ray,-0.13889779578412292,-0.09870420999284399,42.5,-0.09402768767262845,-0.14357431810433846,40.625,DRB%
Allonzo Trier,0.08416407628242879,0.2687189879969458,73.125,0.04794141097193936,0.3049416533074352,74.375,DRB%
Andrew Nembhard,0.0712303315590131,-0.6139798037134694,11.25,-0.0023200512425141945,-0.540429420911942,13.125,DRB%
Antonio Reeves,0.02420172526433459,-0.856888656408837,8.125,0.013052335307742928,-0.8457392664522454,7.5,DRB%
Archie Goodwin,0.07846819786325279,0.5530804257300278,84.375,0.10740999406261374,0.5241386295306668,82.5,DRB%
Austin Reaves,0.15804152710999514,-0.09988354948520894,41.875,0.09428051693221234,-0.03612253930742614,51.87500000000001,DRB%
Austin Rivers,0.06557056716078077,-0.3336323547270108,26.25,0.04153162818911683,-0.3095934157553468,28.749999999999996,DRB%
Ayo Dosunmu,0.11021824811453212,-0.3345075797799888,25.624999999999996,0.15887819650844745,-0.38316752817390415,21.875,DRB%
Ben McLemore,-0.014207182554007491,-0.1784127928745172,37.5,-0.022689551203809624,-0.16993042422471505,39.375,DRB%
Bennedict Mathurin,0.1393745879759955,-0.1670782681865618,38.75,0.13411843883604563,-0.16182211904661192,40.0,DRB%
Blake Wesley,0.048692359141849634,-0.03824449920842424,51.24999999999999,0.08785834915158855,-0.07741048921816315,47.5,DRB%
Bobby Brown,-0.11822578728837564,-1.5896243640102896,0.625,-0.15480868246939142,-1.5530414688292737,0.625,DRB%
Bradley Beal,0.049764574107621765,0.30650515967864256,75.0,0.039005188884055575,0.31726454490220873,75.625,DRB%
Brandin Podziemski,0.11844801388390346,0.8442225832827813,91.875,0.04425833744050485,0.9184122597261799,93.75,DRB%
Brandon Knight,-0.1253767992487109,0.2301480855598711,70.0,-0.10858946216127355,0.21336074847243375,68.75,DRB%
Bruce Brown,-0.023612631586249058,0.05386170230524326,57.49999999999999,-0.009963172052026396,0.0402122427710206,55.625,DRB%
Buddy Hield,0.06030257068892306,0.31444392785200037,75.625,0.08137802216780468,0.2933684763731187,73.125,DRB%
Cameron Payne,-0.18326376242789172,0.3466640041667469,76.25,-0.13605572934805676,0.29945597108691197,73.75,DRB%
Cason Wallace,0.04989312384420333,-0.5506235338148046,14.374999999999998,0.07494153203082668,-0.5756719420014279,12.5,DRB%
Cedric Coward,0.14696054735874664,1.4045985717690028,99.375,0.29128893145030765,1.2602701876774418,98.125,DRB%
Charles Jenkins,-0.12680697654144618,-0.6230037536042967,10.625,-0.09257589863361829,-0.6572348315121246,11.25,DRB%
Coby White,0.027021516192195744,0.693090070457592,88.125,-0.024849019617874855,0.7449606062676626,90.0,DRB%
Collin Sexton,-0.07115132242565175,-0.47934079526403855,17.5,-0.06533856898025046,-0.48515354870943983,16.25,DRB%
D'Angelo Russell,-0.057784472351412444,0.22118471409026763,69.375,0.020922050129619174,0.14247819160923603,63.125,DRB%
Daequan Cook,0.12457532677536737,0.8609425688005314,93.125,0.11036511067857942,0.8751527848973193,92.5,DRB%
Damian Lillard,-0.06706112119780784,-0.20100066636842218,34.375,-0.03474146634608406,-0.23332032122014595,35.0,DRB%
Dant̩ Exum,-0.007935261328212252,-0.9884043949322094,5.0,0.03223495656188123,-1.0285746128223028,4.375,DRB%
De'Aaron Fox,-0.05486588465681953,-0.10236779810748788,41.25,-0.058328596747028935,-0.09890508601727847,45.625,DRB%
De'Anthony Melton,-0.23241971242851026,0.649829575419961,86.875,-0.16110274670900068,0.5785126097004515,86.25,DRB%
Dennis Schr̦der,-0.2514339108728168,0.1530046324753557,65.0,-0.1746236834952832,0.0761944050978221,60.0,DRB%
Denzel Valentine,0.03835803329998259,0.6401347863677207,86.25,0.11148896927395469,0.5670038503937486,85.625,DRB%
Deron Williams,-0.026614649434073146,-0.44221458116237405,19.375,-0.038523240645554846,-0.43030598995089236,18.75,DRB%
Derrick Rose,0.0012451876826026743,-0.48744713209136925,16.875,0.027364130296930633,-0.5135660747056972,14.374999999999998,DRB%
Devin Booker,0.15453584385313557,-0.7266511259519098,10.0,0.13259375246281155,-0.7047090345615858,9.375,DRB%
Devonte' Graham,-0.22686393195117874,-0.19457458831435945,35.625,-0.18808650239464492,-0.23335201787089327,34.375,DRB%
Dion Waiters,-0.0075519214224425285,-0.08212943147164607,44.375,-0.021896407745917272,-0.06778494514817132,48.125,DRB%
Donovan Mitchell,-0.019269513515237216,-0.06792741229449138,46.875,0.04602011226487181,-0.1332170380746004,41.875,DRB%
Doron Lamb,-0.010940201678321326,-0.3909069118920146,22.5,-0.042031245269074556,-0.3598158683012614,22.5,DRB%
Drake Powell,0.1282546371312288,-0.5995136159995014,12.5,0.21562812713084903,-0.6868871059991215,10.625,DRB%
Duane Washington Jr.,-0.17252363600543255,-0.18212599225552104,36.25,-0.11532688164842293,-0.23932274661253067,32.5,DRB%
Dylan Harper,0.12346134327261578,0.08568212900322801,60.0,0.16691700467588427,0.042226467599959516,56.25,DRB%
Elfrid Payton,-0.015749778992090447,0.36113948014273545,77.5,0.016839536678042166,0.3285501644726028,76.875,DRB%
Eric Bledsoe,-0.23207813610145983,0.16307800764207384,66.875,-0.1789719512643511,0.10997182280496509,61.25000000000001,DRB%
Eric Gordon,0.06030329766350219,-1.055525328276393,3.125,0.08407418930170824,-1.079296219914599,1.875,DRB%
Eric Maynor,-0.07343494931740938,-0.043720767852053324,50.0,-0.17267348164270147,0.055517764473238765,57.49999999999999,DRB%
Frank Jackson,-0.1481368769333502,-0.07972124719595969,45.0,-0.12020069392975777,-0.10765743019955212,43.125,DRB%
Gary Harris,-0.056567909301146885,-0.9106037174503383,6.25,-0.09407814228631042,-0.8730934844651748,6.25,DRB%
George Hill,-0.07298766846337774,0.7744992585309012,89.375,-0.021720824918735775,0.7232324149862591,89.375,DRB%
Hamidou Diallo,0.07522137043053186,0.23464382804079215,71.25,0.15695893478058198,0.152906263690742,64.375,DRB%
Iman Shumpert,0.018564892787881263,-0.040398349655521464,50.625,0.06292733368723101,-0.08476079055487121,46.875,DRB%
Immanuel Quickley,-0.16946602892983526,-0.258344145624646,29.375,-0.10306422837814826,-0.324745946176333,25.624999999999996,DRB%
