Player,season_end_year,actual_z,predicted_z,residual_z,residual_pct,target
Russell Westbrook,2009,2.9180354678989375,0.1153529499220343,2.802682517976903,99.58847736625515,ORB%
Saben Lee,2021,0.15447156404122472,-0.160551785330613,0.31502334937183774,74.48559670781893,ORB%
Salim Stoudamire,2006,-0.7256298655492701,-0.1504364768567502,-0.5751933886925199,13.580246913580247,ORB%
Scoot Henderson,2024,-0.0398236471254178,-0.003093395807000076,-0.03673025131841772,53.49794238683128,ORB%
Semaj Christon,2017,0.011701292645785065,-0.02879763433390046,0.040498926979685525,60.90534979423868,ORB%
Sergio RodrÃ­guez,2007,0.004374652426213687,-0.06521339234884121,0.0695880447750549,63.37448559670782,ORB%
Shaedon Sharpe,2023,0.521025947871834,0.2399388592098032,0.2810870886620308,73.25102880658436,ORB%
Shelvin Mack,2012,-0.4207506087972281,-0.044568517343516925,-0.3761820914537112,29.629629629629626,ORB%
Sindarius Thornwell,2018,0.2963030790333189,0.06123621902238784,0.23506686001093102,70.78189300411523,ORB%
Sion James,2026,-0.011441409554153362,0.21885011808246002,-0.23029152763661337,40.74074074074074,ORB%
Stephen Curry,2010,-0.3591193544571531,-0.045644055444095576,-0.31347529901305754,34.5679012345679,ORB%
Sterling Brown,2018,0.6364238591609717,0.1758396891269091,0.4605841700340626,81.06995884773663,ORB%
T.J. McConnell,2016,0.4688889986142416,-0.18578985616785945,0.6546788547821011,88.88888888888889,ORB%
